证券代码,"市盈率(PE,TTM)
[交易日期]3月前","市销率(PS，TTM)
[交易日期]3月前","净资产收益率ROE(TTM)
[交易日期]3月前
[单位]%
[TTM基准日]报表公告日期","总资产报酬率ROA(TTM)
[交易日期]3月前
[单位]%
[TTM基准日]报表公告日期","企业倍数(EV2/EBITDA)
[交易日期]3月前","BIAS乖离率
[交易日期]3月前
[周期]20
[复权方式]不复权
[计算周期]日
[单位]%","RSI相对强弱指标
[交易日期]3月前
[周期]14
[复权方式]不复权
[计算周期]日","换手率
[交易日期]3月前
[单位]%","营业利润/营业总收入(TTM)
[交易日期]3月前
[单位]%
[TTM基准日]报表公告日期","月收盘价
[交易日期]2020-03-19
[复权方式]不复权","月收盘价
[交易日期]2020-04-17
[复权方式]不复权"
000541.SZ,22.4159,1.8997,5.8324,5.2588,11.8953,-6.0181,35.0039,0.437,9.9552,4.51,4.55
000543.SZ,9.3445,0.5708,7.034,5.5379,5.8626,-5.1086,34.5218,0.9753,8.5693,3.86,3.88
000544.SZ,14.2847,4.0406,6.6823,5.5924,8.7524,-7.0982,37.5038,0.5167,35.9618,6.31,7.05
000545.SZ,36.4118,1.4316,3.537,3.4952,17.0537,-8.8616,36.4705,0.718,4.0686,2.72,2.5
000546.SZ,14.5328,0.7468,9.8067,7.9656,6.8365,-7.8069,34.0022,0.7073,5.81,8.21,8.95
000547.SZ,40.3259,5.0956,6.8419,5.9663,23.0592,-8.372,44.7501,2.0766,15.4362,13.45,15.36
000548.SZ,34.0751,5.8821,3.2012,3.2706,10.602,-5.7486,38.4993,0.8628,25.6178,3.68,3.7
000550.SZ,67.4514,0.3418,1.4082,-0.844,-1.51,-10.9415,31.5421,1.0192,-0.3791,11.71,11.77
000551.SZ,34.667,0.9871,5.0165,4.6426,9.0743,-2.6858,48.6615,3.7522,5.812,7.34,7.9
000552.SZ,10.8568,1.2832,6.0922,5.2562,2.7885,-5.1111,34.9194,0.477,13.7195,2.22,2.25
000553.SZ,42.0317,0.9506,2.6252,4.7163,9.8292,-2.295,47.6136,1.3632,3.2227,10.7,9.63
000554.SZ,919.5908,0.7043,0.255,0.5027,21.5253,-7.3181,37.9649,2.1503,0.8188,4.55,4.82
000555.SZ,-251.9069,1.7623,-1.2252,0.7055,26.5431,-5.4697,47.4415,2.1763,-0.1313,15,15.09
000557.SZ,53.28,4.9105,1.5241,1.9847,16.5293,-6.9689,32.7785,0.4092,26.7528,2.77,2.84
000558.SZ,-24.3413,26.3247,-10.8986,-3.9641,37.5123,-9.1375,28.781,0.674,-91.8188,2.7,2.52
000559.SZ,25.1486,1.3453,10.7359,5.7477,12.8624,-10.8781,34.7189,0.3961,5.8195,5.1,4.97
000560.SZ,10.2171,0.7173,7.5655,6.6214,3.9555,-7.9383,34.2052,0.5336,10.2383,3.29,3.41
000561.SZ,49.7337,3.4205,5.5907,2.7769,28.2821,-4.2761,47.0774,2.824,7.572,6.09,6.46
000563.SZ,26.6055,8.7781,4.9405,——,——,-9.4189,36.0128,1.0921,43.1778,3.52,3.6
000564.SZ,-129.4191,1.8133,-0.323,1.6776,-399.3524,-2.7128,45.5183,1.8173,6.4381,2,2.63
000565.SZ,31.3885,5.1303,5.6537,5.1967,20.8079,-5.3544,39.2372,0.9315,16.9699,4.73,4.61
000566.SZ,768.4038,4.4582,0.3065,2.2922,55.5078,-6.9878,46.0308,2.3516,1.5581,8.31,7.04
000567.SZ,26.9413,13.7487,4.6692,4.6803,32.0558,-6.2782,44.4847,5.7753,57.1539,10.05,8.33
